"northing","easting"
132795.03853891,604245.324342456
134900.792979009,601262.180738576
125841.589773428,609927.281111423
126868.405009829,603029.910831794
125624.483645018,602752.817468047
124216.903610621,605168.161069136
127783.328322448,609914.135126285
121800.352479741,606972.291738391
126633.974370137,603041.312506925
123277.741747256,605817.190395016
163243.505132064,639426.690737646
166178.549845982,637508.830998838
157150.199820809,633729.496480636
154898.542479891,631554.248297308
156371.881909575,630059.08900667
153746.56440061,632465.083319992
148861.708501413,636198.486818641
153237.878154777,638520.899503212
157829.425779823,635149.737424962
142538.538338825,633417.68988004
150275.7231858,617553.811384868
156622.783930246,624180.716365296
152931.697652239,620987.173697516
161958.745746985,634421.708100718
164086.330082491,627758.182010204
156854.529724922,628388.508309796
162427.38755662,631304.85334415
155954.928451218,627296.337155253
157758.508835696,627258.081038687
158571.871241823,625349.745402165
158576.386013161,624109.431559686
157822.423044126,627724.49521767
154806.713362318,624650.098838098
150202.168619726,621849.389421288
157824.62047061,630644.512723703
155812.803373188,627136.213732101
153798.468292598,624236.33458782
154577.108620945,622900.423909258
157864.565940388,623119.209870603
144999.029750656,613412.084478699
152123.956053518,616705.353056267
159574.149564747,618111.973587424
159009.899518434,617323.131590422
153367.81239165,622868.100108765
151464.529009722,621546.113870293
151852.273930673,622274.883769687
160368.437517062,623873.382652551
159905.219154432,627493.914021738
164457.796561811,628703.379165381
157240.015087556,630012.661694363
157052.106015664,620630.591237266
151626.687288471,624955.320169311
161012.820152938,630797.290143557
152206.104172673,632184.150554053
159465.744276531,622317.710175086
164034.954159688,622899.712429866
152181.224637181,625108.48341234
156755.439297576,623416.912873648
154775.803939719,620613.297111262
157988.540351484,622932.117459755
159810.904971417,624293.970908225
155898.67661031,627183.303461019
163577.466403414,620334.166789614
152718.962357193,633854.006260075
159997.856543213,626834.305145219
161201.841922756,632508.054062445
140159.249349032,629847.993160412
145042.912586778,630078.90823083
144095.239929333,628583.877416663
142654.34467895,620353.177124448
142519.915524937,623852.18589212
139901.367870346,631447.963843402
138101.22070564,621677.514078189
141641.561532207,623259.743274655
153063.881014846,617331.539421249
154312.714535221,618655.433980394
152882.911970131,612880.842419658
153164.86204667,618224.126673415
146998.030122053,622268.924425691
150172.775074001,615479.884385224
147764.107953925,621474.393551257
149898.820666056,626596.588293314
155249.620788425,617254.808112755
145714.144469053,619029.267803114
146132.922035642,623320.802860055
146169.248651713,619721.859751362
141600.511878904,627173.729499225
137741.137583461,624943.211467937
143394.67328459,622090.766853411
148371.401432436,626269.084094651
144954.035135638,618830.171871651
149149.852372922,622514.59910332
150934.600567631,616608.232152276
146938.571002956,620953.37051836
143045.326391891,631313.6333034
140312.922069624,626862.793455873
140772.090863027,630706.853134032
149523.464108482,633181.172509473
144433.924402311,633988.945424858
142240.692078214,624145.152610838
143985.746624321,631481.422000472
142929.578263406,628675.695841108
137700.167111222,631140.957861252
144045.130418546,629288.776888601
137903.394058291,627689.510098614
144628.080671363,630083.167911801
142235.848049447,627797.459944431
153189.485023227,629424.744818732
151421.194314584,627321.388687007
159201.614385564,630989.696197584
157176.798540466,631702.581626959
156329.559826106,627388.476185501
153022.815546114,628676.228921022
152710.545888186,624219.95959954
146619.172745645,638463.416468464
137647.446650118,629214.649329968
138474.783833157,628425.918451995
142176.619314682,624368.833296467
